Original Time,Rewritten Time
7,from 1966 to 1970 -> from the mid-sixties to the start of the 1970s.
9,in 1963 -> during the early years of the space race.
1993 to 1994,from roughly thirty years ago to almost thirty years ago
2016,seven years ago
In 1994,Later in life
In 1996,Two years before the turn of the millennium
In 2004,About a decade and a half ago
1966,at a time when space exploration was rapidly advancing
1989–1991,around two decades ago
May 2001,roughly two decades ago
October 2002,shortly after he began there
2004,around the mid-2000s
1997,quite a few years later in 1997
2000-2003,"at the start of the new millennium, in 2000-2003"
after 2005,"after the mid-2000s, after 2005"
2006,ever since 2006
"2007, 2009, 2011, 2013, and 2015","during the late 2000s and early 2010s, specifically in 2007, 2009, 2011, 2013, and 2015"
November 2014,"approximately nine years back, in November 2014"
In 1968,During the late 1960s
in 1989,in the late 1980s
In 1991,Just two years later
in February 1995,In early 1995
of 2009,about 14 years ago
In February 2013,"Later, in 2013"
In 2015,Around eight years ago
as of 2022,As of the current year
as of early 2023,as of earlier this year
the 2010 TEDx event,an important TEDx event
2012,a few years ago
In December 2017,Some years back
In a 2013 interview,In a recent interview
As of July 2018,Five years ago
1972,a few decades ago
1973,one year later
19 August 2017,six years ago
October 2018,five years ago
1941-1944,early 1940s
1944,mid-1940s
1945,A year later
1946,late 1940s
1985,around three decades ago
2000,About two decades ago
1942,during World War II
1955,the following year
1971,A few years later
1973,four years later
From 1990 to 1991,More than three decades ago
21 January 2020,a few years ago
February 1944,early 1944
1945,the year following
June 1945,mid-1945
1947,the post-war years
1963-66,the early 1960s
1965 to 1971,the mid-1960s to the early 1970s
until 1967,until the year after
1990,about three decades ago
1998,four years before this century began
by the end of 2000,by the start of 2001
October 2001 through 2011,about 20 years ago through approximately 10 years later
2002,early this century's first decade
2006,mid this century's first decade
2010,more than a decade ago
Until 30 June 2015,Until around eight years ago
5th a,six years ago
"March 21, 1911",over a century ago
1938,when he was 27 years old
1992,many decades later
1942,the early 1940s
1956,the mid-1950s
1963,the early 1960s
1972,about a decade later
1974,the mid-1970s
1981,the early 1980s
Dhul-Hijjah 1408 A.H.,a period that would coincide with two decades ago
1980,over four decades ago
1990 to 2020,for three decades
1990,over three decades ago
1991,around the beginning of the 90s
2012,just over a decade ago
1993 to 2001,throughout most of the 90s and into the early 21st century
2004,just over 15 years ago
1999,late in the 90s
2012,just over a decade ago
2010,early 2010s
2003,about two decades ago
January 2014,early 2014
December 2015,late 2015
November 2015,late 2015
January 2017 through October 2022,for almost six years
June 2020,Three years ago
June 2021,Just over two years ago
March 2022,early last year
2001,the early 2000s
2004,a few years later
2007,a number of years ago
2009,about a decade ago
2010,soon after
July 2012,the summer a decade ago
2014,less than a decade ago
July 2019,a few years ago
In 1935,More than a decade later
In 1951,About a year later
In December 1951,At the end of that year
In 1956,Not long after her promotion
In March 1964,Several years later
1951,around three years later
1953,a couple of years later
1955,shortly after
1957,within a couple of years
1960,that point in time
1939,around the start of the Second World War
1939,then
1945,the mid-1940s
1945,later
1950,a half-decade later
1947,a couple of years after World War II
1934-38,pre-war
1950s,at that time
1936,many decades ago
1938,Two years later
1939,One year after his return
1943,Several years into the war
1944,The following year
1946,Shortly after the end of World War II
1983,early 80s
4 August 1936,the summer of 1936
late 1945,a couple of years later
1946,a year later
1947,the following year
1949,Two years hence
1950,the subsequent year
1974,about a quarter-century later
1928,Not long after
1937,Quite a few years before now
1954,A few decades ago
1959,A little over 60 years ago
1958,Just over six decades ago
1993,Not quite three decades ago
2006,A year later
2012 to 2020,a decade ago to just three years back
2013,a decade ago
2017,six years ago
2021,two years ago
From 1994 to 1997,Years following that
Since 2001,For more than two decades
From 2004 to 2013,"Several years, starting in 2004 until a decade ago"
Since 2011,For over a decade
1953–1955,nearly seven decades ago
1965–1974,launched over half a century ago
1985,nearly four decades ago
1987,a generation ago
1980 to 1987,starting four decades ago
1987,A few years later
1992,roughly three decades ago
Also in 2013,Also during the following year
In 2015,In the same year
"April 11, 1906",a spring day in 1906
1914,the early 1910s
1928,about two decades later
1933,shortly thereafter
"May 31, 1933",one late spring day in 1933
1938,the late 1930s
In 1990,About two years after he joined NCAR
In 1993,the year after he became a visiting senior scholar
In 1997,About four years after becoming the SPRL director
1918,during the latter part of World War I
July 1919,mid-1919
January 1921,the start of the early 1920s
April 1933,just before the mid-1930s
"2 - ""1941","""the early 1940s"""
"2 - ""1942","""the early 1940s"""
"3 - ""1942","""the same early 1940s period"""
"4 - ""1950","""about two decades later"""
"5 - ""from 1970 to 1979","""across nearly the entirety of the 1970s"""
"6 - ""2002","""about two decades ago"""
"6 - ""June 2006","""over fifteen years ago"""
"8 - ""2004","""nearly two decades ago"""
1976,shortly after he joined Marquette
1998 to 2001,a few years before he founded the center for research in intercultural new media
2017–2018,the two years following that
December 2018,last December
1998,A few years after earning his degree
2006,about seven years later
2011 and 2019,for most of the previous decade
2020,the following year
2013,several years back
2014,nearly a decade ago
2015,for many years
March 2018,A few years ago
in 2019,several years ago
January 2019,Earlier that year
2019,that year
1974,many years ago
1977,a few years after that
1981,several years later
1982,not long after
1983-1984,The following year
1987,several years later
1989-1990,A couple of years later
1993-1998,during the 1990s
1952,many decades ago
1964,By the mid-1960s
"March 14, 1976",in the mid-1970s
1978 to 1979,several decades ago
1985,a few decades ago
1986,decades ago
1992,Years after completing his graduate studies
1998,several decades ago
2005,Shortly after leaving Nuance
2009,some years ago
2014,Several years later
2019,A couple of years ago
Moon landing in 1969,Moon landing during the late 1960s.
In 1978,In the late 1970s.
In 1984,In the mid-1980s.
From 1990 to 1992,By the early 1990s.
By 1992,By the early 1990s.
Following WEHI in 1992,Following WEHI around the same time.
In 1992 and again from 1998 to 2002,In the early 1990s and again in the early 2000s.
From 2002 to 2006,Till the mid-2000s.
As of April 2014,As of a decade ago.
2002,seven years later
2007,after a further five years
2013,about a decade ago
1952,some two years later
1953,just a year later
1977,about two decades later
2017,around six years ago
2014,nearly nine years ago
2015,about eight years back
2016,roughly seven years ago
2018,five years ago
2018,five years back
"October 31, 2022",about a year ago
3 – 'From 1993 to 1995,'For two years in the mid-1990s'
4 – 'In September 1995,'In the fall of 1995'
5 – 'In March 1998,'Two years later'
8 – '26 December 2013,'the day after Christmas in 2013'
9 – 'In the summer of 2015,"'Two years after his passing, in the summer'"
1930,many decades ago
1934,the years leading up to World War II
1942,shortly after the attack on Pearl Harbor
1944,around the middle of the 1940s
1951,In the early 1950s
1957,before the dawn of the Space Age
1962,early 1960s
1965,the mid-1960s
1938,the late 1930s
2006,recently
2011,Almost two years later
2012,"Not long after, in 2015"
2018,Five years ago
2019,Just four years back
2021,Two years ago
2003,a year following the start of the new millennium
2007,within the next four years
July 2004,over a decade and a half ago
2016,just seven years ago
from 2016 to 2018,during a period starting seven years ago and ending five years ago
April 2019,just half a year
2020,as of three years ago
1971,Over five decades ago
1974,Over four decades ago
1979,More than forty years back
Early '80s,Around that time
1981,About forty-two years ago
1983,Within the same decade [as 1981]
1984,In the mid-1980s
2001,About two decades ago
1969,quite some time ago
From 1973–78,A few years later
From 1978,Soon after
in 1989,back then
in 1992,rounding out the early '90s
From 2009 to 2013,A few years thereafter
From 2013 to 2018,Several years ago
"from October 25, 2018 to September 19, 2019",just a few years back
"October 25, 2018",At that time
"On September 8, 2019",in the fall of 2019
1935 to 1936,A decade after moving to Jiangsu University
1935,during the same year as his studies at Brussels University
1954,Six years later
1968,Roughly fourteen years after this
1975,Towards the midpoint of the 1970s
2016,Almost half a century later
January 1946,early the following year
1955,The next year
1958,Three years later
2005,The following year
2006,a year later
2011,Not long after
2017,Some years down the line
2018,Shortly after
2023,recently
1998,over two decades ago
2003,twenty years ago
2004,sometime later
2004,around the same period
2010,thirteen years ago
2014,nine years ago
2015,eight years ago
December 2017,towards the end of that year
January 2017,At the start of that same year
December 2018,Almost five years ago
April 2018,more than five years ago
2007,Not long after the inception of SciWorld
2008,The following year
2010,A couple of years later
2011,A decade after earning his Ph.D
2014,A year later
August 2022,Still strong as of a few months ago
1244,centuries ago
1864,a long time ago
1952 to 1958,roughly half a century before now
From 1982 to 1988,Roughly four decades ago
1958 to 1959,**over the next couple of years**
1966,**the following year**
1969,**three years after that**
1988,**more than a decade later**
1989,**the subsequent year**
1989,**in the same year**
1995,**six years down the line**
1994,**the following year**
1960,over six decades ago
2015 to 2018,a few years ago
1923,the following year
1926,three years later
1949,just over seven decades ago
1995,quite some time ago
2001,a couple of decades ago
2007,more than a decade ago
2008,A few years ago
2008,when Grace relayed the request
2009,about four years after his fraudulent tenure
1962,A couple of years later
1966,Several years on
1967,the following year
1968,One year after that
1969,The subsequent year
1975,Halfway through the 1970s
1980,Nearly 15 years after her promotion
1982,Approximately two years later
1960,More than six decades ago
October 2015,late 2015
18 January 2015,January a few years ago
2016,seven years ago
24 April 2016,April of the same year
July 2020,three years ago
2021,two years ago
August 2021,Recently
23 October 2023,A few days ago
1960,three years later
1963,about the time when many pivotal changes were underway
1974,some fifteen years after first joining
1987,just a few months before retiring
1974,around that time
1976,thirty years before the turn of the millennium
1998,near the end of the 20th century
2010,just over a decade ago
1957,[Retained Absolute Time]
1955,[Retained Absolute Time]
2002,the following year
2004,A few years later
2005,soon after that
2007,a couple of years after that
2018,the first day of the following year
2000,two decades ago
2009,nearly 15 years ago
2011,about 12 years ago
2012,about 11 years ago
2017,February 2017
2019,about four years ago
June 2020,June 2020
"December 11, 2021",almost two years ago
June 2015 to June 2019,June 2015 to June 2019
1992,almost three decades ago
2000 and 2001,the turn of the millennium
2008,for more than a decade
2019,Over four years ago
2020,About three years ago
1991,three decades ago
2001,two decades ago
2009,a few years later
2010,over a decade ago
2013,ten years ago
"September 22, 2006",Recently
In 2008,Back in her sophomore year
In both 2008 and 2010,During this time
In 2009,In a subsequent time
2009,that year
In June 2017,But several years later
In December 2020,A few months before my training data ends
In November 2021,Last year
April 2022,earlier this year
April 2022,around the same time
1990,over three decades ago
1998,25 years before now
2009,in the cohort formed 14 years ago
2014,9 years ago
2016,Seven years back
15 September 2021,two years ago on September 15
December 2022,about ten months ago
1999,late 1990s
2003,early 2000s
"August 11, 2010, and August 16, 2010",mid-August 2010
2015,mid-2010s
2023,recently
"March 21, 2024",upcoming spring
August 2009,"mid-August, fourteen years ago"
1986,38 years ago
2004,around 19 years back
2014,9 years ago
June 1979,In the summer of what would become the final year of the 1970s
July 1997,Three years later
1981,Several decades ago
From 1991 to 1993,In the early 1990s
1993,Around 30 years ago
1999,At the turn of the millennium
2000,Over two decades ago
July 2015,Until about eight years back
1999,the final year before the turn of the millennium
1997,A decade later
September 2002,Two decades ago
June 2007,Roughly 16 years ago
September 2004 to December 2006,A couple of years after
1962,in the following year
"January 10, 1963",early in the subsequent year
"January 13, 1965",A few years after that
1980,In the interim
"May 21, 1992",Around three decades ago
1957,late 1950s
1963,about four decades after her commission for Amphitryon 38
2007,around fifteen years ago
2008,the following year
December 2016,about seven years ago
3 July 2017,just six years ago
23 July 2018,five years ago
2019,just four years ago
2017,six years ago
1940,during one of the early years of WWII
1941,about a year after the formation of the MIT Radiation Laboratory
1950,five years after joining the American Academy
1956,roughly six years later
1967,Some time before the first moon landing
1969,a couple of years after
May 1992,A few years later
1995,a few years later
17 March 1995,in the spring of 1995
2003,two decades ago
2004,the following year
2013,eight years ago
"July 16, 2013",eight years ago
1978,"""the late 1970s"""
1989,"""a few decades ago"""
2007,"""several years into the 2000s"""
March 2006,several months later
2006,"shortly after, in the same year"
30 March 2006,just a few days before the end of March 2006
September 2017,"Years after his space journey, in September 2017"
2018,recently in 2018
2 August,earlier the same month
October 2021,A couple of years back
In 2003,Some years later
June 2004,nearly two decades ago
January 2004,around the same period
June 2009,Years afterward
October 2020,a few years ago
"July 4, 2021",nearly two years ago
1946,shortly after the war
1960,many years ago
1963,decades ago
1963,many decades earlier
1965,early in the era
1966,the second half of the 1960s
1998,many years later
2009,over a decade ago
June 1940,quite some time ago
"February 23, 1946",many years ago
1950,past decades
1957,past decades
1948,a few years after their marriage
1958,several years later
June 1950,not too long after his marriage
April 1959,quite some time ago
1959,Shortly thereafter
1971 to 1984,over a decade
October 1979,late 1979
4 August 1983,less than a year starting from 8 November 1982
1985,two years later
1971 to 1976,several decades ago
1998,some years back
31 December 2005,mid-2000s
1941,many years ago during World War II
1942,Soon after
1943,After a couple of years
1961,Several years later
1965,A few years after that
1971,Many years later
2 - 1975,many years after moving there
3 - 1983,the early 1980s
3 - 1987,a few years later
7 - 20 October 2003,just days later
8 - October 2007,a few years before
9 - 22 July 2008,not long after
1994,nearly two decades ago
spring of 2005,spring of a little less than two decades ago
2008,about fifteen years ago
December 2009,the end of the following year
1976,several years later
1972,that period
1972,those years
1974,two years after
1976,That year
1977,after several months
1999,in the same year
2005,several years later
1941,During the time of World War II
1951,a decade after their marriage
1952,a year after their relocation
June 1968,the middle of 1968
March 1969,a few months later
1971,early in the 1970s
1973,two years later
1975,a couple of years after achieving the international standard
`Since 2018`,`For the last five years`
`2019`,`four years ago`
`February 2020`,`Earlier this year`
1992,several decades ago
1996,four years after the protest
1999,a few years later
2002,a couple of years into the new millennium
"April 6, 2003",a few months into that year
2017,a few years ago
1994,a couple of years later
2020,by this point in time
June 1989 to January 1991,late 1980s to the early 1990s
21 April 2004,in the early 2000s
24 June 2004,mid-2004
26 March 2009,in the late 2000s
"February 4, 2024 at 07:30:08 UTC",a couple of months ago
"February 4, 2024 at 07:30:08 UTC",a couple of months ago
1500,centuries ago
1800,a couple of centuries back
1900,some time last century
1977,decades past
1985,several decades ago
1995,many years before now
2002,over two decades ago
1928,early 20th-century
2008,in the past 15 years
2008,some years ago
1973,several decades ago
1973,many years back
"July 28 to September 25, 1973",during the summer months of a year in the 1970s
mid-1979,the late 1970s
1982,many decades ago
1989,the year after the late 1980s
1960,63 years ago
July 1962,about 61 years ago
August 1964,59 years ago
1966,57 years ago
1966,57 years ago
"January 27, 1967",56 years ago
1976,47 years ago
1980,43 years back
1983,40 years ago
"October 30, 2007",16 years ago
1994,**a few years later**
mid-2001,**twenty-two years ago**
"April 28, 2001",**April of the same year**
"May 18, 2002",**a few months after the start of the new millennium**
"July 24, 2003",**a couple of months after the turn of the millennium**
2011,**twelve years ago**
2016 to 2019,"**For three years, until the recent past**"
1972,long ago
May 2004,nearly two decades ago
August 2009,around 14 years back
"August 25, 2009",(retained)
2010,about thirteen years ago
2012,approximately two years later
"September 29, 2011",roughly twelve years ago
2012,over a decade ago
2012,(retained)
2023,recently
"October 13, 2004",two decades ago
"April 24, 2005",about a year later
2008,over a decade ago
"May 7, 2009",that very month
2016,several years ago
2014,a few years before now
"July 16–20, 2007",around the same time
August 1966,several decades ago
1966,around the same period
"October 13, 1984",just over a week later
March 1986,a couple of years later
January 1986,earlier that year
1989,about four years later
"September 20, 2017",some six years ago
Spring 1986,"""the spring of the following year"""
early January 1986,"""early that year"""
In 1987,"""In the following year"""
1947,long before he started his career
1951,quite some time ago
1953,several decades ago
1971,the early 70s
March 1982,that same spring
1984,a couple of years thereafter
"March 19, 1993",nearly 30 years ago
2014,not too long ago
"November 6, 2017",a few years back
1961 through 1965,a few decades ago
1973,the early 1970s
1973,the same era
1983,the early 1980s
"September 10, 1973",an autumn day in the early 1970s
2000,the turn of the millennium
1983,the early 1980s
January 1988 until May 1993,the late 1980s until the early 1990s
1992,the early 1990s
1976 to 1977,"""during the mid-1970s"""
For 1977,"""During that same period"""
By July 1978,"""By the summer of two years later"""
in 1978,"""during that same year"""
in December 1977,"""late in the previous year"""
"five weeks later, on 20 October 1978","""five weeks later, on a mid-autumn day of that year"""
for 1978,"""in their debut season"""
1994,many years ago
1998,four years later
2007 Boston Marathon,marathon several years ago
2011,more than a decade later
15 December 2015,a few years back
2016,the following year
2016,that year
18 June 2016,Months later in 2016
1933,Nearly two years later
1949,nearly two decades later
from 1950 to 1953,over a four-year span
at the end of 1952,shortly before the end of the year
1987,many years ago
From 1990 to 1993,Several years later
2004,almost two decades ago
September 2009,roughly a decade ago
"September 25, 2010",over a dozen years ago
early 2019,a couple of years back
1956,the following year
1986,a few years later
1984,four years later
1958,about six and seven years after the end of World War II
1959,about six and seven years after the end of World War II
1960,around the start of a new decade
1963,three years after the famed Mille Miglia race was discontinued
1966,mid-to-late 1960s
April 1966,spring of the same year
1966,summer of the same year
April 1967,four months left in the year
April 1967,the same month
January 1971,beginning of the new decade
1982,four years later
June 1983,That year
January 1986,early the following year
1999,around twelve years later
1982-1985,the early 1980s
1985,the mid-1980s
1989,several years before the Soviet Union dissolved
1999 to 2003,at the dawn of the new millennium
2003 to 2011,From 2003 to 2011 (retained as absolute time)
In 1991,The following year
In 1993,Three years after his graduation
In January 2007,"Not quite a decade later, in January 2007"
November 2009,Two years after that mission
In 2021,"Not too long ago, in 2021"
1970,"""over five decades ago"""
1941,over eight decades ago
1951,over seven decades ago
1960,six decades ago
1974,almost half a century ago
1974,half a century ago
1974,early part of the seventies
1984–1985,mid-eighties
"October 10, 2011",early part of the previous decade
"June 6, 2016",about seven years ago
"September 1, 2016","later that year, in the autumn"
February 2024,early next year
1 - 1972,back in the early 70s
5 - August 2004,nearly two decades ago
7 - June 2008,over 15 years ago
August 1985,later in the summer of the same year
"Jan. 6, 1986",earlier in the same month
January 1986,During this time
"4 minutes 55 seconds before January 6, 1986",just moments before
1988,the return of flights in 1988
"December 2, 1990",in late 1990
April 1997,the late 1990s
1998,the late 1990s
1956,three years before 1957
1953,three years after the event began
1954,the following year
1954,the same particularly successful year and well over a decade later
1955,the year after his initial Rallye du Maroc win
1955,the still same year
1956,two years after his initial Rallye du Maroc win
1985,almost four decades ago
1984,the mid-1980s
November 1985,the late 1980s
February 1988,a few years later
September 1989,a few years after the late 1980s
October 1990,the early 1990s
September 1994,the mid-1990s
2001,the early years of the 21st century
2007,nearly two decades ago
1942,over eight decades ago
June 1943,the following year
1951,several decades before the turn of the millennium
June 1947,approximately four years after World War II
1951,just over seven decades ago
March 1968,more than half a century ago
November 2010,Several months later
23 November 2010,A few days after that announcement
May 2016,Shortly afterwards
October 2017,A few months later
2001,two decades ago
Beijing 2008,Beijing 2008
May 2010,May 2010
June 2013,June 2013
16 June 2013,mid-June 2013
2018,five years ago
March 2018,five years back
October 2021,October 2021
1972,several years later
early 1972,early 1970s
1984 to his death,over three decades
2000,early in the new millennium
2012,over a decade back
1992,early 90s
1998,late 90s
March 2002,early in 2002
August 2001 to December 2001,from August to December of that same year
from 2012 to 2013,"""fairly recently"""
2 August 2012,"""shortly thereafter"""
24 December 2013,"""not long after that"""
6 January 2013,"""shortly into 2013"""
8 July 2013,"""a few days into July 2013"""
4 February 1996,the early part of 1996
1 February 2005,a year after he took power under autocratic rule
May 2002,a few years earlier
2011,a few years past 2010
26 September 2015,late 2015
2019,four years prior to 2023
1 - 1923,long ago
2 - 1928,many years back
3 - 1940,the early 1940s
4 - 1949 to 1950,since the late 1940s
4 - 1951,shortly afterward
4 - 1952,not long after
6 - 1961,some time before his involvement in Saint Lucia
8 - 1998,a few decades ago
10 - 16 January 2011,16 January 2011 (retained)
1960,some time before the mid-1960s
1964,mid-1960s
1973,early 1970s
1965,shortly after the mid-1960s
1966,just a year after
1971,shortly into the 1970s
1974,within three years
1988,five decades ago
1973,thirty-five years ago
1979,just two years later
1995,thirty years ago
1991,nearly a decade after that
1992,a year later
2001,approximately twenty-two years ago
1994,the following year
2010,a little over a decade ago
1996,one year after he began the professorship at Imperial College
1998,two years afterwards
2017,six years ago
2001,Shortly into the 21st century
2002,the subsequent year
2005,In the same decade
1944,many years before the end of World War II
1949,a few years before the 1950s
1959,a few decades ago
1990,a few years before the mid-1990s
1992,the early 1990s
1996,the mid-1990s
1937,a significant historical period over 80 years ago.
1996 and 2004,a couple of decades ago and around 20 years ago.
2004,2004 (retained).
2004 elections,elections that took place nearly two decades ago.
29 December 2004 to 22 December 2008,29 December 2004 to 22 December 2008 (retained).
9 April 2004,spring of the same year.
14 March 2007,early 2007.
1 April 2007,beginning of April 2007.
3 April,a couple of days later.
5 April 2007,5 April 2007 (retained).
1–2 August 2014,late summer period of 2014.
1965–66,the following year
1967,two years later
1981,a decade later
1905,the turn of the 20th century
1904,the early 1900s
1963,just over half a century ago
1969,about half a century ago
1976,long ago
2010,more than a decade ago
March 1974 to March 1975,"After this, he returned to Australia, planned and executed the joint Australia, New Zealand, United States project ANZUS EDDY for one year"
1982,Becoming a U.S. citizen five years later
1995,9 years ago
May 2014,around nine years ago.
In 1999,"""Several years before the turn of the millennium"""
"August 28, 2001","""a little over two decades ago"""
early 2006,"""many years ago"""
2008,"""about fifteen years back"""
October 2012,"""about eleven years ago"""
2012,"""around the same time"""
1958,during the late 1950s
1963,years after
1948,many decades ago
1951,before the mid-1950s
1953,a few years thereafter
1955,during the mid-1950s
March 1961,just over a decade later
28 April 2010,a couple of years later
30 January 2017,a few years ago
"May 13, 2005",Not long before the end of an early summer
"January 23, 2009",Just a few years before retiring
2000,two decades ago
1964,mid-1960s
1983,right at the beginning of the 1980s
1994,mid-1990s
1995,mid-1990s
1997,late-1990s
2001,early 2000s
1981,forty-two years ago
2002,twenty-one years ago
2005,eighteen years ago
2006,seventeen years ago
December 2017,nearly six years ago
2018,five years ago
1976,some decades ago
1982,quite some time ago
April to August 1991,a few months after joining NASA
1994,a few years later
1997,some years after his diagnosis
2014,some years later
2012,the same year of the festival
2021,a couple of years ago
1945,several decades ago
1982,some years ago
1986,over three decades ago
1990,early 1990s
1983,some years after the military regime
2000,some years ago
2004,a few years later
2007,some years back
March 2005,earlier that same year
2005,many years ago
7 February 2011,over a decade ago
March 2008,not too long before the last decade
2009,some time ago
1955,Four years after the end of World War II
1977,About two decades after that
"10 November, 1982",In the early 1980s
"16 June, 1983",later that summer
1982,the early 1980s
1983,shortly before the mid-1980s
"9 February, 1984",a couple of months into the year after
May 2009,over a decade ago
February 2011,early 2011
28 May 2013,late May 2013
29 May,shortly after
by the end of 2013,by the end of that year
9 July 2013,early July 2013
16 July 2013,a week later
In 2014,In the following year
July 2015,mid-2015
13 August 2019,a few years ago
1968,Elvis Presley's hit
2002,a new millennium
1977,the late 1970s
1988 to 1991,for about three years starting in the late 1980s
1999,at the tail end of the 1990s
2002,just a couple of years into the new millennium
2003,about a year after that
April 2006,the spring three years later
1952,when his revolutionary ideas were just taking shape
1969,in the late 1960s
1986,A few decades ago
1994 and 1998,the mid-1990s
1997,the late 20th century
1975,many years ago
3,"November 4, 2011 -> late 2011"
4,2013 -> A couple of years later
5,October of that year -> A month before
8,2017 -> Several years later
9,"June 18, 2017, to June 27, 2017 -> Mid-2017"
1999,more than two decades ago
2003,About two decades ago
June 2009,Over a decade ago
June 2011,two years later
May 2015,Nearly a decade ago
November 2016,around seven years ago
"March 30, 2022",in March 2022
October 2008,nearly three years later
"May 5, 2009",early 2009
Christmas in 1938,"Christmas, in the late 1930s"
"November 17, 1939",a date in the fall of 1939
"September 12, 1942",the latter part of 1942
"August 2, 1943",during the summer of 1943
1945,shortly after the end of World War II
during the 2018 trial,during the trial five years ago
9 December 2019,9 December three years ago
21 February 2023,21 February earlier this year
October 2024,Last month
1945 and 1946,the mid-1940s
"March, 1959",a few months later
1974,the mid-1970s
1985,three years after that
1995,ten years later
1998,three years after that
1999,in the following year
2004,half a decade after
2006,two years later
From 2016 to early 2018,From seven years ago to early five years ago
1983,nearly four decades ago
July 1996,July two years later
March 1995,March over a quarter of a century ago
Summer of 2002,summer about twenty years ago
